genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_003269405.1,PRJNA474785,ASM326940v1,Complete Genome,na,SAMN09373895,2018-06-28,GCA_003269405.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003269405.1,Representative Genome,yes,major,plantarum,SK151,Dankook University,1590
GCF_014131735.1,PRJNA531377,ASM1413173v1,Complete Genome,na,SAMN11357169,2020-08-10,GCA_014131735.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_014131735.1,,yes,major,plantarum,DSM 20174,Helmholtz Centre for Environmental Research - UFZ,1590
GCF_004730965.1,PRJNA481980,ASM473096v1,Complete Genome,na,SAMN09692902,2019-04-08,GCA_004730965.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004730965.1,,yes,major,plantarum,UNQLp11,Universidad Nacional de Quilmes,1590
GCF_001704335.1,PRJNA306257,ASM170433v1,Complete Genome,na,SAMN04346870,2016-08-12,GCA_001704335.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001704335.1,,yes,major,plantarum,DF,University of Alberta,1590
GCF_001704315.1,PRJNA306257,ASM170431v1,Complete Genome,na,SAMN04346869,2016-08-12,GCA_001704315.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001704315.1,,yes,major,plantarum,KP,University of Alberta,1590
GCF_002290185.1,PRJNA397225,ASM229018v1,Complete Genome,na,SAMN07593867,2017-09-12,GCA_002290185.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002290185.1,,yes,major,plantarum,BDGP2,Lawrence Berkeley National Laboratory,1590
GCF_001672035.1,PRJNA322398,ASM167203v1,Complete Genome,na,SAMN05162259,2016-06-20,GCA_001672035.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001672035.1,,yes,major,plantarum,NCU116,Nanchang University,1590
GCF_013487805.1,PRJNA542991,ASM1348780v1,Complete Genome,na,SAMN11650980,2020-07-23,GCA_013487805.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_013487805.1,,yes,major,plantarum,BK-021,Vegut LAB Inc.,1590
GCF_002576835.1,PRJNA413663,ASM257683v1,Complete Genome,na,SAMN07760023,2017-10-18,GCA_002576835.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002576835.1,,yes,major,plantarum,PC520,Northwest A&F University,1590
GCF_013155145.1,PRJNA633313,ASM1315514v1,Complete Genome,na,SAMN14941080,2020-05-24,GCA_013155145.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_013155145.1,,yes,major,plantarum,CNEI-KCA4,Nnamdi Azikiwe University,1590
GCF_003345375.1,PRJNA390483,ASM334537v1,Complete Genome,na,SAMN07236647,2018-07-30,GCA_003345375.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003345375.1,,yes,major,plantarum,TMW 1.1478,Technische Universitaet Muenchen,1590
GCF_002220175.1,PRJNA384998,ASM222017v1,Complete Genome,na,SAMN06855883,2017-07-17,GCA_002220175.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002220175.1,,yes,major,plantarum,dm,Boston University,1590
GCF_009762745.1,PRJNA594549,ASM976274v1,Complete Genome,na,SAMN13520994,2019-12-18,GCA_009762745.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009762745.1,,yes,major,plantarum,8P-A3,FSBSI Institute of Experimental Medicine,1590
GCF_002868775.1,PRJNA427842,ASM286877v1,Complete Genome,na,SAMN08274873,2018-01-09,GCA_002868775.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002868775.1,,yes,major,plantarum,K259,Handong Global University,1590
GCF_002005385.2,PRJNA371738,ASM200538v2,Complete Genome,na,SAMN06311425,2017-10-10,GCA_002005385.2,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002005385.2,,yes,major,plantarum,10CH,University of Reading,1590
GCF_017798305.1,PRJNA527135,ASM1779830v1,Complete Genome,na,SAMN11128907,2021-04-06,GCA_017798305.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_017798305.1,,yes,major,plantarum,NCIMB8826,UC Davis,1590
GCF_015693925.1,PRJNA678828,ASM1569392v1,Complete Genome,na,SAMN16814808,2020-11-29,GCA_015693925.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_015693925.1,,yes,major,plantarum,ZDY2013,Nanchang University,1590
GCF_004103495.1,PRJNA515335,ASM410349v1,Complete Genome,na,SAMN10754018,2019-01-23,GCA_004103495.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004103495.1,,yes,major,plantarum,SRCM103472,Microbial Institute for Fermentation Industry,1590
GCF_004103515.1,PRJNA515338,ASM410351v1,Complete Genome,na,SAMN10754056,2019-01-23,GCA_004103515.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004103515.1,,yes,major,plantarum,SRCM103473,Microbial Institute for Fermentation Industry,1590
GCF_010586945.1,PRJNA542320,ASM1058694v1,Complete Genome,na,SAMN11618740,2020-02-14,GCA_010586945.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_010586945.1,,yes,major,plantarum,202195,University of Alabama at Birmingham,1590
GCF_018351295.1,PRJNA611725,ASM1835129v1,Complete Genome,na,SAMN14169821,2021-05-13,GCA_018351295.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_018351295.1,,yes,major,plantarum,ATCC 202195,DuPont Nutrition and Biosciences,1590
GCF_020881935.1,PRJNA777729,ASM2088193v1,Complete Genome,na,SAMN22871635,2021-11-16,GCA_020881935.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_020881935.1,,yes,major,plantarum,ZW5,Shandong First Medical University,1590
GCF_002948215.1,PRJNA433601,ASM294821v1,Complete Genome,na,SAMN08512091,2018-02-19,GCA_002948215.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002948215.1,,yes,major,plantarum,KC28,Handong Global University,1590
GCF_016812075.1,PRJNA695095,ASM1681207v1,Complete Genome,na,SAMN17601126,2021-02-07,GCA_016812075.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_016812075.1,,yes,major,plantarum,CXG9,Zhejiang Academy of Agricultural Sciences,1590
GCF_002109425.1,PRJNA382868,ASM210942v1,Complete Genome,na,SAMN06756312,2017-04-25,GCA_002109425.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002109425.1,,yes,major,plantarum,LP2,Hubei University of Technology,1590
GCF_000931425.2,PRJNA271910,ASM93142v2,Complete Genome,na,SAMN03278695,2018-02-06,GCA_000931425.2,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_000931425.2,,yes,major,plantarum,B21,RMIT University,1590
GCF_004101505.1,PRJNA515118,ASM410150v1,Complete Genome,na,SAMN10742635,2019-01-22,GCA_004101505.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004101505.1,,yes,major,plantarum,SRCM103357,Microbial Institute for Fermentation Industry,1590
GCF_003589725.1,PRJNA392731,ASM358972v1,Complete Genome,na,SAMN07305427,2018-09-23,GCA_003589725.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003589725.1,,yes,major,plantarum,ZFM55,Zhejiang Gongshang University,1590
GCF_003966855.1,PRJDB6423,ASM396685v1,Complete Genome,na,SAMD00097254,2018-08-10,GCA_003966855.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003966855.1,,yes,major,plantarum,SN35N,Hiroshima University,1590
GCF_013367715.1,PRJNA625473,ASM1336771v1,Complete Genome,na,SAMN14600802,2020-06-23,GCA_013367715.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_013367715.1,,yes,major,plantarum,Heal19,Wageningen University and Research,1590
GCF_001596095.1,PRJNA313247,ASM159609v1,Complete Genome,na,SAMN04517536,2016-03-22,GCA_001596095.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001596095.1,,yes,major,plantarum,JBE245,Chonbuk National University,1590
GCF_003627335.1,PRJNA392582,ASM362733v1,Complete Genome,na,SAMN07303085,2018-10-08,GCA_003627335.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003627335.1,,yes,major,plantarum,ZFM9,Zhejiang Gongshang University,1590
GCF_001484005.1,PRJNA289547,ASM148400v1,Complete Genome,na,SAMN03854682,2016-01-04,GCA_001484005.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001484005.1,,yes,major,plantarum,LZ95,ZHE JIANG GONG SHANG UNIVERSITY,1590
GCF_002286275.1,PRJNA340346,ASM228627v1,Complete Genome,na,SAMN05631073,2017-09-05,GCA_002286275.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002286275.1,,yes,major,plantarum,LP3,Korea Food Research Institute,1590
GCF_017301935.1,PRJNA593926,ASM1730193v1,Complete Genome,na,SAMN13495976,2021-03-08,GCA_017301935.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_017301935.1,,yes,major,plantarum,12,Dalian Polytechnic University,1590
GCF_007833595.1,PRJNA477916,ASM783359v1,Complete Genome,na,SAMN09487401,2019-08-05,GCA_007833595.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_007833595.1,,yes,major,plantarum,Y44,Dalian Polythenic University,1590
GCF_001617525.2,PRJNA315197,ASM161752v2,Complete Genome,na,SAMN04549363,2018-07-10,GCA_001617525.2,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001617525.2,,yes,major,plantarum,CAUH2,China Agricultural University,1590
GCF_002173655.1,PRJNA386760,ASM217365v1,Complete Genome,na,SAMN07125944,2017-06-06,GCA_002173655.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002173655.1,,yes,major,plantarum,SRCM102022,Microbial Institiue for Fermentation Industry,1590
GCF_010092485.1,PRJNA601672,ASM1009248v1,Complete Genome,na,SAMN13871866,2020-02-01,GCA_010092485.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_010092485.1,,yes,major,plantarum,CACC 558,Center for Industrialization of Agricultural and Livestock Microorganisms,1590
GCF_017742875.1,PRJNA716786,ASM1774287v1,Complete Genome,na,SAMN18452343,2021-04-04,GCA_017742875.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_017742875.1,,yes,major,plantarum,LRCC5314,Chung-Ang University,1590
GCF_009913975.1,PRJNA438180,ASM991397v1,Complete Genome,na,SAMN08707612,2020-01-22,GCA_009913975.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913975.1,,yes,major,plantarum,SRCM102737,Microbial Institute for Fermentation Industry,1590
GCF_002116955.1,PRJNA353584,ASM211695v1,Complete Genome,na,SAMN06016049,2017-05-02,GCA_002116955.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002116955.1,,yes,major,plantarum,BLS41,KOOKMIN UNIVERSITY,1590
GCF_001990145.1,PRJNA343164,ASM199014v1,Complete Genome,na,SAMN05717715,2017-02-07,GCA_001990145.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001990145.1,,yes,major,plantarum,RI-113,ETH Zurich,1590
GCF_014840995.1,PRJNA665544,ASM1484099v1,Complete Genome,na,SAMN16261143,2020-10-04,GCA_014840995.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_014840995.1,,yes,major,plantarum,PMO08,Chungbuk National University,1590
GCF_013458335.1,PRJNA579442,ASM1345833v1,Complete Genome,na,SAMN13555603,2020-07-22,GCA_013458335.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_013458335.1,,yes,major,plantarum,HC-2,"Institute of Oceanology, Chinese Academy of Sciences",1590
GCF_003428355.1,PRJNA486606,ASM342835v1,Complete Genome,na,SAMN09858434,2018-08-26,GCA_003428355.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003428355.1,,yes,major,plantarum,IDCC3501,"Research Laboratories, Ildong Pharmaceutical",1590
GCF_003692595.1,PRJNA407683,ASM369259v1,Complete Genome,na,SAMN07661079,2018-10-29,GCA_003692595.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003692595.1,,yes,major,plantarum,KACC 92189,Seoul National University,1590
GCF_001278015.1,PRJNA257680,ASM127801v1,Complete Genome,na,SAMN02953961,2015-09-02,GCA_001278015.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001278015.1,,yes,major,plantarum,5-2,Chinese National Human Genome Center at Shanghai,1590
GCF_001880185.2,PRJNA301506,ASM188018v2,Complete Genome,na,SAMN04251328,2018-08-17,GCA_001880185.2,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001880185.2,,yes,major,plantarum,MF1298,Nofima,1590
GCF_016838645.1,PRJNA698422,ASM1683864v1,Complete Genome,na,SAMN17717972,2021-02-09,GCA_016838645.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_016838645.1,,yes,major,plantarum,KM2,Dongduk Women's University,1590
GCF_003999275.1,PRJNA503525,ASM399927v1,Complete Genome,na,SAMN10364449,2019-01-08,GCA_003999275.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003999275.1,,yes,major,plantarum,FBL-3a,Lanzhou Veterinary Research Institute,1590
GCF_014041895.1,PRJNA648018,ASM1404189v1,Complete Genome,na,SAMN15616178,2020-08-02,GCA_014041895.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_014041895.1,,yes,major,plantarum,SK156,Dankook University,1590
GCF_003097595.1,PRJNA445784,ASM309759v1,Complete Genome,na,SAMN08939683,2018-05-08,GCA_003097595.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003097595.1,,yes,major,plantarum,LQ80,Naoko Moriya's shared submissions,1590
GCF_012974545.1,PRJNA628739,ASM1297454v1,Complete Genome,na,SAMN14750817,2020-05-05,GCA_012974545.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_012974545.1,,yes,major,plantarum,AMT74419,Korea Food Research Institute,1590
GCF_009914095.1,PRJNA438180,ASM991409v1,Complete Genome,na,SAMN08707601,2020-01-22,GCA_009914095.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009914095.1,,yes,major,plantarum,SRCM101167,Microbial Institute for Fermentation Industry,1590
GCF_004319665.1,PRJNA428424,ASM431966v1,Complete Genome,na,SAMN08290306,2019-02-28,GCA_004319665.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004319665.1,,yes,major,plantarum,IRG1,Korea Food Research Institute,1590
GCF_009913635.1,PRJNA438180,ASM991363v1,Complete Genome,na,SAMN08707597,2020-01-22,GCA_009913635.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913635.1,,yes,major,plantarum,SRCM100440,Microbial Institute for Fermentation Industry,1590
GCF_009913655.1,PRJNA438180,ASM991365v1,Complete Genome,na,SAMN08707598,2020-01-22,GCA_009913655.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913655.1,,yes,major,plantarum,SRCM100442,Microbial Institute for Fermentation Industry,1590
GCF_009913615.1,PRJNA438180,ASM991361v1,Complete Genome,na,SAMN08707596,2020-01-22,GCA_009913615.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913615.1,,yes,major,plantarum,SRCM100438,Microbial Institute for Fermentation Industry,1590
GCF_009619495.1,PRJNA390483,ASM961949v1,Complete Genome,na,SAMN07236646,2019-11-07,GCA_009619495.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009619495.1,,yes,major,plantarum,TMW 1.1308,Technische Universitaet Muenchen,1590
GCF_003597615.1,PRJNA492154,ASM359761v1,Complete Genome,na,SAMN10094466,2018-09-26,GCA_003597615.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003597615.1,,yes,major,plantarum,ATG-K8,"AtoGen Co., Ltd.",1590
GCF_017351995.1,PRJNA706544,ASM1735199v1,Complete Genome,na,SAMN18137751,2021-03-14,GCA_017351995.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_017351995.1,,yes,major,plantarum,AR195,University of Shanghai for Science and Technology,1590
GCF_014084065.1,PRJNA574875,ASM1408406v1,Complete Genome,na,SAMN12871419,2020-08-06,GCA_014084065.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_014084065.1,,yes,major,plantarum,BCC9546,National Center for Genetic Engineering and Biotechnology,1590
GCF_019425695.1,PRJNA644238,ASM1942569v1,Complete Genome,na,SAMN15455050,2021-07-30,GCA_019425695.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_019425695.1,,yes,major,plantarum,DW12,"Faculty of Science, Prince of Songkla University",1590
GCF_004028335.1,PRJNA513828,ASM402833v1,Complete Genome,na,SAMN10720264,2019-01-17,GCA_004028335.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004028335.1,,yes,major,plantarum,12_3,Beijing Technology and Business University,1590
GCF_009913855.1,PRJNA438180,ASM991385v1,Complete Genome,na,SAMN08707605,2020-01-22,GCA_009913855.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913855.1,,yes,major,plantarum,SRCM101518,Microbial Institute for Fermentation Industry,1590
GCF_003627355.1,PRJNA392545,ASM362735v1,Complete Genome,na,SAMN07303049,2018-10-08,GCA_003627355.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003627355.1,,yes,major,plantarum,ZFM4,Zhejiang Gongshang University,1590
GCF_001659745.1,PRJNA323381,ASM165974v1,Complete Genome,na,SAMN05177792,2016-06-08,GCA_001659745.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001659745.1,,yes,major,plantarum,LZ206,Zhejiang Gongshang University,1590
GCF_003352125.1,PRJNA436423,ASM335212v1,Complete Genome,na,SAMN08624599,2018-08-01,GCA_003352125.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003352125.1,,yes,major,plantarum,b-2,Hebei University of Economics and Business,1590
GCF_017068235.1,PRJNA702588,ASM1706823v1,Complete Genome,na,SAMN17975732,2021-02-28,GCA_017068235.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_017068235.1,,yes,major,plantarum,GR0128,National Chung Hsing University,1590
GCF_019399915.1,PRJNA682401,ASM1939991v1,Complete Genome,na,SAMN16988606,2021-07-29,GCA_019399915.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_019399915.1,,yes,major,plantarum,41P,University College Cork,1590
GCF_016894405.1,PRJNA630372,ASM1689440v1,Complete Genome,na,SAMN14833145,2021-02-16,GCA_016894405.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_016894405.1,,yes,major,plantarum,Lp900,Wageningen University and Research,1590
GCF_013694305.1,PRJNA645633,ASM1369430v1,Complete Genome,na,SAMN15511455,2020-07-26,GCA_013694305.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_013694305.1,,yes,major,plantarum,CNEI-KCA5,Nnamdi Azikiwe University/Uzobiogene Genomics,1590
GCF_009720585.1,PRJDB6743,ASM972058v1,Complete Genome,na,SAMN13255693,2019-11-30,GCA_009720585.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009720585.1,,yes,major,plantarum,KCCP11226,Incheon National University,1590
GCF_003597595.1,PRJNA492151,ASM359759v1,Complete Genome,na,SAMN10094369,2018-09-26,GCA_003597595.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003597595.1,,yes,major,plantarum,ATG-K6,"AtoGen Co., Ltd.",1590
GCF_002749655.1,PRJNA415899,ASM274965v1,Complete Genome,na,SAMN07837328,2017-11-03,GCA_002749655.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002749655.1,,yes,major,plantarum,ATCC 8014,Huazhong Agricultural University,1590
GCF_015377525.1,PRJNA579198,ASM1537752v1,Complete Genome,na,SAMN13106278,2020-11-12,GCA_015377525.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_015377525.1,,yes,major,plantarum,TK-P2A,Zhejiang Tianke High Technology Development Co.Ltd.,1590
GCF_002895245.1,PRJNA429501,ASM289524v1,Complete Genome,na,SAMN08348227,2018-01-22,GCA_002895245.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002895245.1,,yes,major,plantarum,LM1004,Hyun Su Kim,1590
GCF_001296095.1,PRJNA291681,ASM129609v1,Complete Genome,na,SAMN03952027,2015-09-22,GCA_001296095.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_001296095.1,,yes,major,plantarum,ZS2058,Jiangnan University,1590
GCF_009913695.1,PRJNA438180,ASM991369v1,Complete Genome,na,SAMN08707600,2020-01-22,GCA_009913695.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913695.1,,yes,major,plantarum,SRCM101105,Microbial Institute for Fermentation Industry,1590
GCF_003586485.1,PRJNA483103,ASM358648v1,Complete Genome,na,SAMN09721150,2018-09-21,GCA_003586485.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003586485.1,,yes,major,plantarum,DR7,"School of Industrial Technology, Universiti Sains Malaysia",1590
GCF_003143915.1,PRJNA470532,ASM314391v1,Complete Genome,na,SAMN09087848,2018-05-20,GCA_003143915.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_003143915.1,,yes,major,plantarum,HAC01,"AtoGen Co., Ltd.",1590
GCF_002024845.1,PRJNA369573,ASM202484v1,Complete Genome,na,SAMN06240352,2017-03-10,GCA_002024845.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002024845.1,,yes,major,plantarum,CLP0611,Korea University,1590
GCF_006770505.1,PRJNA403768,ASM677050v1,Complete Genome,na,SAMN07620857,2019-07-09,GCA_006770505.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_006770505.1,,yes,major,plantarum,LLY-606,BGI,1590
GCF_009913675.1,PRJNA438180,ASM991367v1,Complete Genome,na,SAMN08707599,2020-01-22,GCA_009913675.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009913675.1,,yes,major,plantarum,SRCM100995,Microbial Institute for Fermentation Industry,1590
GCF_004101325.1,PRJNA515108,ASM410132v1,Complete Genome,na,SAMN10742279,2019-01-22,GCA_004101325.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_004101325.1,,yes,major,plantarum,SRCM103311,Microbial Institute for Fermentation Industry,1590
GCF_009759845.1,PRJNA594657,ASM975984v1,Complete Genome,na,SAMN13526508,2019-12-17,GCA_009759845.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_009759845.1,,yes,major,plantarum,123-17,FSBSI Institute of Experimental Medicine,1590
GCF_002943545.1,PRJNA422175,ASM294354v1,Complete Genome,na,SAMN08166740,2017-12-23,GCA_002943545.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002943545.1,,yes,major,plantarum,X7021,School of Biological Engineering,1590
GCF_002109405.1,PRJNA379754,ASM210940v1,Complete Genome,na,SAMN06619691,2017-04-25,GCA_002109405.1,full,Lactiplantibacillus,Lactiplantibacillus plantarum (firmicutes),GCF_002109405.1,,yes,major,plantarum,JBE490,Chonbuk National University,1590
