patric_genome_id,bgcflow_genome_id,genome_name,organism_name,taxon_id,genome_status,strain,serovar,biovar,pathovar,mlst,other_typing,culture_collection,type_strain,completion_date,publication,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,refseq_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,sequences,genome_length,gc_content,patric_cds,brc1_cds,refseq_cds,isolation_site,isolation_source,isolation_comments,collection_date,isolation_country,geographic_location,latitude,longitude,altitude,depth,other_environmental,host_name,host_gender,host_age,host_health,body_sample_site,body_sample_subsite,other_clinical,antimicrobial_resistance,antimicrobial_resistance_evidence,gram_stain,cell_shape,motility,sporulation,temperature_range,optimal_temperature,salinity,oxygen_requirement,habitat,disease,comments,additional_metadata,contig_l50,contig_n50,trna,rrnacoarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_qualitydate_created,date_modified
2419772.3,GCF_003627035.1,Lactobacillus sp. BHWM-4,,2419772,Complete,BHWM-4,,,,,,KACC:19317,,2018-10-07T00:00:00Z,,PRJNA493669,SAMN10141030,GCA_003627035.1,CP032626,,National Institute of Agricultural Sciences,,PacBio RSII,857.0x,RS HGAP Assembly v. 3.0,1.0,,1.0,,1289211.0,34.0976,1176.0,,1158.0,,gut,,2017-05,South Korea,South Korea: Jeonju,,,,,,Bombus ignitus,,,,,,,,,,,,,,,,,,,Isolated bacterial strains from Insect lava,"sample_type:cell culture;collected_by:Soo-Jin Kim, Soon-Wo Kwon;identified_by:Soo-Jin Kim, Jun Heo, Soon-Wo Kwon",0.0,1289211.0,61.0,,97.9,,,,2018-11-28T20:36:07.863Z
148814.61,GCF_019575995.1,Apilactobacillus kunkeei strain DSMZ 12361,,148814,Complete,DSMZ 12361,,,,,,,,2021-08-12T00:00:00Z,,PRJNA751903,SAMN20557570,GCA_019575995.1,CP080568,,University of Life Sciences in Lublin,,Illumina MiSeq,1x,Unicycler v. v0.4.7,1.0,0.0,1.0,,1542216.0,36.557396,1374.0,,1359.0,,not applicable,,not collected,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,Apilactobacillus kunkeei genome sequencing,sample_type:Type strain,1.0,1542216.0,64.0,,97.6,,,,2021-08-26T16:06:25.212Z
148814.16,GCF_001314945.1,Lactobacillus kunkeei strain MP2,,148814,Complete,MP2,,,,,,,,2015-10-14T00:00:00Z,,PRJNA298292,SAMN04157996,GCA_001314945.1,CP012920,NZ_CP012920.1,Universidad Mayor,,PacBio,"raw reads 600X, post-corrected read",Celera Assembler v. 8.3,1.0,,1.0,,1614522.0,36.86,1484.0,,1445.0,,gut,,Jan-2013,Chile,Chile: Melipilla,,,,,,"Honey bee, Apis mellifera",,,,,,,,,,,,,,C,,,HostAssociated,,"Complete genome sequencing of Lactobacillus kunkeei MP2, using PacBio technology",sample_type:cell culture,1.0,1614522.0,66.0,,97.0,99.9,11.4,,2016-01-17T17:15:28.281Z
148814.62,GCF_019576055.1,Apilactobacillus kunkeei strain 7K4AA,,148814,Complete,7K4AA,,,,,,,,2021-08-12T00:00:00Z,,PRJNA751903,SAMN20557569,GCA_019576055.1,"CP080569,CP080570",,University of Life Sciences in Lublin,,Illumina MiSeq,1x,Unicycler v. v0.4.7,1.0,1.0,2.0,,1597354.0,36.983536,1436.0,,1419.0,,environmental,,2017-07-12,Poland,Poland: Lublin,,,,,,,,,,,,,,,,,,,,,,,,,Apilactobacillus kunkeei genome sequencing,sample_type:Monoisolate,1.0,1588921.0,64.0,,97.5,,,,2021-08-26T16:09:25.806Z
148814.63,GCF_019718775.1,Apilactobacillus kunkeei strain 7K11C,,148814,WGS,7K11C,,,,,,,,2021-08-22T00:00:00Z,,PRJNA754857,SAMN20804187,GCA_019718775.1,"JAIHBH010000003,JAIHBH010000004,JAIHBH010000006,JAIHBH010000001,JAIHBH010000010,JAIHBH010000011,JAIHBH010000012",,University of Life Sciences in Lublin,,Illumina MiSeq,1.0x,Unicycler v. v0.4.7,0.0,3.0,15.0,,1634437.0,36.994022,1489.0,,1461.0,,Nectar,,2017-07-12,Poland,Poland: Lublin,,,,,,,,,,,,,,,,,,,,,,,,,Apilactobacillus kunkeei genome sequencing,sample_type:cell culture,1.0,1513848.0,78.0,,97.5,,,,2021-08-26T19:34:51.634Z
148814.14,GCF_001308205.1,Lactobacillus kunkeei strain LAdo,,148814,WGS,LAdo,,,,,,,,2015-10-08T00:00:00Z,25953738,PRJNA270963,SAMN03277032,GCF_001308205.1,JXDC01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,9.0,,1406916.0,36.58,1284.0,,1234.0,,,,2012,Malaysia,Malaysia:Borneo,,,,,,"Giant honeybee, Apis dorsata",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"sample_type:cell culture;collected_by:Alejandra Vasquez, Tobias Olofsson",2.0,365555.0,62.0,,97.9,100.0,0.0,,2016-01-17T17:13:45.401Z
148814.11,GCF_001281285.1,Lactobacillus kunkeei strain LAni,,148814,WGS,LAni,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270969,SAMN03275718,GCF_001281285.1,JXDA01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,8.0,,1490020.0,37.25,1341.0,,1280.0,,,,2012,Indonesia,Indonesia,,,,,,"Bee, Apis nigrocincta",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"collected_by:Alejandra Vasquez, Tobias Olofsson;sample_type:cell culture",2.0,363045.0,62.0,,97.6,100.0,0.0,,2016-01-17T17:06:09.641Z
148814.8,GCF_001281205.1,Lactobacillus kunkeei strain LAko,,148814,WGS,LAko,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270965,SAMN03275716,GCF_001281205.1,JXCY01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,7.0,,1552941.0,37.66,1389.0,,1332.0,,,,2012,Malaysia,Malaysia: Borneo,,,,,,"Bee, Apis koschevnikovi",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"collected_by:Alejandra Vasquez, Tobias Olofsson;sample_type:cell culture",2.0,362906.0,55.0,,97.0,100.0,0.0,,2016-01-17T17:06:08.313Z
148814.20,GCF_001421115.1,Lactobacillus kunkeei strain LAce,,148814,WGS,LAce,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270962,SAMN03275714,GCF_001421115.1,JXCW01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,2.0,8.0,,1525855.0,37.18,1384.0,,1311.0,,,,2012,Malaysia,Malaysia: Borneo,,,,,,"Asiatic honeybee, Apis cerana",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"collected_by:Alejandra Vasquez, Tobias Olofsson;sample_type:cell culture",3.0,317931.0,45.0,,97.6,100.0,0.0,,2016-01-17T17:42:01.825Z
148814.10,GCF_001281225.1,Lactobacillus kunkeei strain LAan,,148814,WGS,LAan,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270961,SAMN03275713,GCF_001281225.1,JXCV01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,2.0,24.0,,1554001.0,37.05,1426.0,,1347.0,,,,2012,Malaysia,Malaysia: Borneo,,,,,,"Bee, Apis andreniformis",,,,,,,,,Positive,,,,,,,,,,Comparative genomic analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"collected_by:Alejandra Vasquez, Tobias Olofsson;sample_type:cell culture",3.0,252768.0,64.0,,97.3,100.0,0.0,,2016-01-17T17:06:09.024Z
148814.37,GCF_014323645.1,Lactobacillus kunkeei strain 3L strain not applicable,,148814,WGS,not applicable,,,,,,,,2019-06-26T00:00:00Z,,PRJNA484967,SAMN09779799,GCA_006493615.1,QUBO01000000,,"University of California, Riverside",,Illumina MiSeq,346x,a5pipeline v. 5222015,,,28.0,,1574441.0,36.42184,1458.0,,1431.0,,Hive Honey Comb,,2015-03-20,USA,"USA: Riverside, Ca",,,,,,Honey Bee,,,,,,,,,,,,,,,,,,,Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus Between free-living and host-associated relatives Reveal Potential Adaptation to Hosts,sample_type:Hive Microbiomes,3.0,236678.0,63.0,,98.2,,,,2019-09-30T11:05:04.008Z
148814.6,GCF_000830375.1,Lactobacillus kunkeei strain AR114,,148814,WGS,AR114,,,,,,,,2015-01-30T00:00:00Z,,PRJNA253911,SAMN02981005,GCF_000830375.1,JPYX01000000,,Norwegian University of Life Sciences,,Illumina MiSeq,12.0x,Ray v. 2.3.1,,,21.0,,1551609.0,36.86,1408.0,,1297.0,,Honey bee midgut,,2010-12-03,Norway,Norway: Aas,,,,,env_biome:Beehive,"Honey bee, Apis mellifera",,,,,,,,,Positive,Bacilli,,,Mesophilic,30C,,Facultative,HostAssociated,,Draft genome of Lactobacillus kunkeei isolated from honey bee midgut,,3.0,207955.0,61.0,,97.3,100.0,0.0,,2016-01-17T15:43:12.601Z
148814.19,GCF_001949975.2,Lactobacillus kunkeei strain LAfl,,148814,WGS,LAfl,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270964,SAMN03275715,GCF_001421135.1,JXCX01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,1.0,14.0,,1567135.0,36.98,1449.0,,1369.0,,,,2012,Thailand,Thailand,,,,,,"Little honeybee, Apis florea",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"collected_by:Alejandra Vasquez, Tobias Olofsson;sample_type:cell culture",4.0,198823.0,56.0,,97.6,100.0,0.0,,2016-01-17T17:42:02.211Z
148814.15,GCF_001308215.1,Lactobacillus kunkeei strain LAnu,,148814,WGS,LAnu,,,,,,,,2015-10-08T00:00:00Z,25953738,PRJNA270970,SAMN03277034,GCF_001308215.1,JXDD01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,16.0,,1576859.0,37.43,1417.0,,1357.0,,,,2012,Malaysia,Malaysia:Borneo,,,,,,"Bee, Apis nuluensis",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"sample_type:cell culture;collected_by:Alejandra Vasquez, Tobias Olofsson",4.0,144526.0,54.0,,97.2,100.0,0.0,,2016-01-17T17:13:45.781Z
148814.35,GCF_005930975.1,Lactobacillus kunkeei strain UASWS1868-NN17,,148814,WGS,UASWS1868-NN17,,,,,,,,2019-06-03T00:00:00Z,,PRJNA542050,SAMN11607714,GCA_005930975.1,VBSE01000000,,University of Applied Sciences and Arts Western Switzerland hepia,,Illumina,281.5x,SPAdes v. 3.13.0,,,43.0,,1542588.0,35.43623,1413.0,,1384.0,,gastrointestinal tract,,2018,Switzerland,Switzerland: Lullier,,,478 m,,temperature:34�C,"Honey bee, Apis mellifera",,,,,,,,,,,,,,,,,,,Lactobacillus kunkeei strain NN17,sample_type:genomic DNA;biomaterial_provider:Plants and pathogens group;collected_by:Crovadore;identified_by:Crovadore,5.0,135180.0,65.0,,98.0,,,,2019-07-17T20:16:08.749Z
148814.12,GCF_001308185.1,Lactobacillus kunkeei strain LMbe,,148814,WGS,LMbe,,,,,,,,2015-10-08T00:00:00Z,25953738,PRJNA270972,SAMN03277035,GCF_001308185.1,JXDE01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,18.0,,1478744.0,36.54,1338.0,,1275.0,,,,2012,Mexico,Mexico,,,,,,"Bee, Melipona beecheii",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees and stingless bees,"sample_type:cell culture;collected_by:Alejandra Vasquez, Tobias Olofsson",4.0,117132.0,62.0,,97.7,100.0,0.0,,2016-01-17T17:13:44.771Z
148814.5,GCF_000741865.1,Lactobacillus kunkeei strain MP2,,148814,WGS,MP2,,,,,,,,2014-08-19T00:00:00Z,25301653,PRJNA257367,SAMN02950967,GCA_000741865.1,JPUI00000000,-,Universidad Mayor,,Illumina MiSeq,10.0x,MaSuRCA v. 2.0.3.1,,,44.0,,1581395.0,36.7,1419.0,,1356.0,,Chilean honey bees gut,,2013,Chile,Chile: Santiago,,,,,,"Honey bee, Apis mellifera",,,,,,,,,,,,,,,,,,,Microbe sample from Lactobacillus kunkeei strain MP2 extracted from chilean honey bees gut,,7.0,96293.0,64.0,,97.1,99.9,0.0,,2015-03-16T03:17:09.594Z
148814.33,GCF_005930925.1,Lactobacillus kunkeei strain UASWS1869-NN19,,148814,WGS,UASWS1869-NN19,,,,,,,,2019-06-03T00:00:00Z,,PRJNA542052,SAMN11607715,GCA_005930925.1,VBSG01000000,,University of Applied Sciences and Arts Western Switzerland hepia,,Illumina,370.8x,SPAdes v. 3.13.0,,,51.0,,1490423.0,36.595116,1369.0,,1346.0,,gastrointestinal tract,,2018,Switzerland,Switzerland: Lullier,,,478 m,,temperature:34�C,"Honey bee, Apis mellifera",,,,,,,,,,,,,,,,,,,Lactobacillus kunkeei strain NN19,sample_type:genomic DNA;biomaterial_provider:Plants and pathogens group;collected_by:Crovadore;identified_by:Crovadore,6.0,79895.0,68.0,,98.3,,,,2019-07-17T20:13:43.872Z
148814.32,GCF_005930915.1,Lactobacillus kunkeei strain UASWS1867-NN5,,148814,WGS,UASWS1867-NN5,,,,,,,,2019-06-03T00:00:00Z,,PRJNA542049,SAMN11607713,GCA_005930915.1,VBSD01000000,,University of Applied Sciences and Arts Western Switzerland hepia,,Illumina,220x,SPAdes v. 3.13.0,,,45.0,,1484706.0,36.569595,1361.0,,1338.0,,gastrointestinal tract,,2018,Switzerland,Switzerland: Lullier,,,478 m,,temperature:34�C,"Honey bee, Apis mellifera",,,,,,,,,,,,,,,,,,,Lactobacillus kunkeei strain NN5,sample_type:genomic DNA;biomaterial_provider:Plants and pathogens group;collected_by:Crovadore;identified_by:Crovadore,7.0,78107.0,61.0,,98.4,,,,2019-07-17T20:13:23.001Z
148814.13,GCF_001308195.1,Lactobacillus kunkeei strain LMbo,,148814,WGS,LMbo,,,,,,,,2015-10-08T00:00:00Z,25953738,PRJNA270973,SAMN03277051,GCF_001308195.1,JXDF01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,31.0,,1560079.0,37.11,1409.0,,1350.0,,,,2012,Kenya,Kenya,,,,,,"Bee, Meliponula bocandei",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees and stingless bees,"sample_type:cell culture;collected_by:Alejandra Vasquez, Tobias Olofsson",6.0,76251.0,64.0,,97.1,99.9,0.0,,2016-01-17T17:13:45.087Z
148814.9,GCF_001281215.1,Lactobacillus kunkeei strain LAla,,148814,WGS,LAla,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270966,SAMN03275717,GCF_001281215.1,JXCZ01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,47.0,,1569644.0,37.02,1431.0,,1351.0,,,,2012,Nepal,Nepal,,,,,,"Himalayan honeybee, Apis laboriosa",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"collected_by:Alejandra Vasquez, Tobias Olofsson;sample_type:cell culture",8.0,68362.0,62.0,,96.9,100.0,0.0,,2016-01-17T17:06:08.626Z
148814.36,GCF_006493415.1,Lactobacillus kunkeei strain KA_01 strain not applicable,,148814,WGS,not applicable,,,,,,,,2019-06-26T00:00:00Z,,PRJNA484967,SAMN09779800,GCA_006493415.1,QUBN01000000,,"University of California, Riverside",,Illumina MiSeq,53x,a5pipeline v. 5222015,,,66.0,,1575592.0,36.69261,1496.0,,1473.0,,Hive,,2011-05-11,USA,"USA: Tucson, Az",,,,,,Honey Bee,,,,,,,,,,,,,,,,,,,Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus Between free-living and host-associated relatives Reveal Potential Adaptation to Hosts,sample_type:Hive Microbiomes,9.0,63535.0,62.0,,98.4,,,,2019-09-30T11:03:14.772Z
148814.34,GCF_005930935.1,Lactobacillus kunkeei strain UASWS1870-NN20,,148814,WGS,UASWS1870-NN20,,,,,,,,2019-06-03T00:00:00Z,,PRJNA542054,SAMN11607716,GCA_005930935.1,VBSF01000000,,University of Applied Sciences and Arts Western Switzerland hepia,,Illumina,361.9x,SPAdes v. 3.13.0,,,53.0,,1499235.0,36.3424,1364.0,,1341.0,,gastrointestinal tract,,2018,Switzerland,Switzerland: Lullier,,,478 m,,temperature:34�C,"Honey bee, Apis mellifera",,,,,,,,,,,,,,,,,,,Lactobacillus kunkeei strain NN20,sample_type:genomic DNA;biomaterial_provider:Plants and pathogens group;collected_by:Crovadore;identified_by:Crovadore,8.0,55820.0,64.0,,98.4,,,,2019-07-17T20:15:33.918Z
148814.7,GCF_001281165.1,Lactobacillus kunkeei strain Fhon2,,148814,WGS,Fhon2,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270967,SAMN03275711,GCF_001281165.1,JXCU01000000,,Uppsala university,,Illumina MiSeq; 454,160.0x,Newbler v. 2.6,,,8.0,,1608264.0,34.57,1458.0,,1348.0,,,,2008,Sweden,Sweden: Jonstorp,,,,,,"Honey bee, Apis mellifera",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei isolated from diverse species of honey bees,"sample_type:cell culture;collected_by:Alejandra Vasquez, Tobias Olofsson",1.0,1514950.0,59.0,,97.6,100.0,3.1,,2016-01-17T17:06:07.650Z
1423768.3,GCF_001281265.1,Lactobacillus kunkeei DSM 12361 = ATCC 700308,,1423768,WGS,YH-15,,,,,,ATCC:700308,Yes,2015-09-11T00:00:00Z,25953738,PRJNA270974,SAMN03275719,GCF_001281265.1,JXDB01000000,,Uppsala university,,Illumina MiSeq,200.0x,Velvet v. 1.1.06,,,16.0,,1515712.0,36.42,1361.0,,1304.0,,spoiled wine fermentation,,1996,USA,USA: California,,,,,,,,,,,,,,,Positive,,,,,,,,,,Type strain of Lactobacillus kunkeei,sample_type:cell culture,3.0,250196.0,62.0,,97.7,100.0,0.0,,2016-01-17T17:06:09.322Z
1423768.4,GCF_001433825.1,Lactobacillus kunkeei DSM 12361 = ATCC 700308,,1423768,WGS,DSM 12361,,,,,,DSM:12361,,2015-11-06T00:00:00Z,,PRJNA222257,SAMN02369503,GCF_001433825.1,AZCK01000000,,Shanghai Majorbio,,Illumina MiSeq; Illumina HiSeq,100x,SOAPdenovo v. 2,,,23.0,,1513897.0,36.41,1362.0,,1320.0,,commercial grape wine undergoing a sluggish/stuck alcoholic fermentation,,2012,USA,United States,,,,,,,,,,,,,,,,,,,,,,,,,Genomic characterization of the genus Lactobacillus,,3.0,234293.0,44.0,,97.7,100.0,0.0,,2016-01-17T17:45:25.522Z
1899430.24,GCF_006493595.1,Lactobacillus micheneri strain HV_65 strain not applicable,,1899430,WGS,not applicable,,,,,,,,2019-06-26T00:00:00Z,,PRJNA484967,SAMN09779805,GCA_006493595.1,QUBI01000000,,"University of California, Riverside",,Illumina MiSeq,79x,a5pipeline v. 5222015,,,20.0,,1479398.0,30.589779,1484.0,,1446.0,,Pollen provision,,2016-07-18,USA,"USA: Logan, Utah",,,,,,Megachile rotundata,,,,,,,,,,,,,,,,,,,Comparative Genomics of Non-Corbiculate Bee and Flower Associated Lactobacillus Between free-living and host-associated relatives Reveal Potential Adaptation to Hosts,sample_type:Bee Pollen Provision Microbe,3.0,264604.0,63.0,,97.8,,,,2019-09-30T11:04:25.970Z
